UF,Consumo,Mes,Ano
Espírito Santo,177633.0,SET,2011.0
Rio de Janeiro,992047.0,SET,2011.0
São Paulo,3012224.0,SET,2011.0
Paraná,551258.0,SET,2011.0
Santa Catarina,394049.0,SET,2011.0
Rio Grande do Sul,612225.0,SET,2011.0
Mato Grosso do Sul,145792.0,SET,2011.0
Mato Grosso,231402.0,SET,2011.0
Goiás,374357.0,SET,2011.0
Distrito Federal,189611.0,SET,2011.0
Rondônia,109680.0,OUT,2011.0
Acre,40004.0,OUT,2011.0
Amazonas,220542.0,OUT,2011.0
Roraima,46783.0,OUT,2011.0
Pará,337330.0,OUT,2011.0
Amapá,48857.0,OUT,2011.0
Tocantins,81457.0,OUT,2011.0
Maranhão,262848.0,OUT,2011.0
Piauí,141055.0,OUT,2011.0
Ceará,327122.0,OUT,2011.0
Rio Grande do Norte,163480.0,OUT,2011.0
Paraíba,142802.0,OUT,2011.0
Pernambuco,389376.0,OUT,2011.0
Alagoas,105429.0,OUT,2011.0
Sergipe,84125.0,OUT,2011.0
Bahia,546481.0,OUT,2011.0
Minas Gerais,902228.0,OUT,2011.0
Espírito Santo,195066.0,OUT,2011.0
Rio de Janeiro,1106761.0,OUT,2011.0
São Paulo,3261673.0,OUT,2011.0
Paraná,582854.0,OUT,2011.0
Santa Catarina,406685.0,OUT,2011.0
Rio Grande do Sul,622335.0,OUT,2011.0
Mato Grosso do Sul,157657.0,OUT,2011.0
Mato Grosso,236438.0,OUT,2011.0
Goiás,412409.0,OUT,2011.0
Distrito Federal,201876.0,OUT,2011.0
Rondônia,103269.0,NOV,2011.0
Acre,38799.0,NOV,2011.0
Amazonas,190606.0,NOV,2011.0
Roraima,41775.0,NOV,2011.0
Pará,370682.0,NOV,2011.0
Amapá,52782.0,NOV,2011.0
Tocantins,74223.0,NOV,2011.0
Maranhão,262870.0,NOV,2011.0
Piauí,145979.0,NOV,2011.0
Ceará,331946.0,NOV,2011.0
Rio Grande do Norte,166344.0,NOV,2011.0
Paraíba,143581.0,NOV,2011.0
Pernambuco,390160.0,NOV,2011.0
Alagoas,103056.0,NOV,2011.0
Sergipe,85944.0,NOV,2011.0
Bahia,563255.0,NOV,2011.0
Minas Gerais,934175.0,NOV,2011.0
Espírito Santo,194116.0,NOV,2011.0
Rio de Janeiro,1149574.0,NOV,2011.0
São Paulo,3179977.0,NOV,2011.0
Paraná,579610.0,NOV,2011.0
Santa Catarina,413598.0,NOV,2011.0
Rio Grande do Sul,619684.0,NOV,2011.0
Mato Grosso do Sul,163057.0,NOV,2011.0
Mato Grosso,235406.0,NOV,2011.0
Goiás,397953.0,NOV,2011.0
Distrito Federal,199320.0,NOV,2011.0
Rondônia,105907.0,DEZ,2011.0
Acre,39789.0,DEZ,2011.0
Amazonas,191329.0,DEZ,2011.0
Roraima,40081.0,DEZ,2011.0
Pará,347261.0,DEZ,2011.0
Amapá,53089.0,DEZ,2011.0
Tocantins,73839.0,DEZ,2011.0
Maranhão,259417.0,DEZ,2011.0
Piauí,149468.0,DEZ,2011.0
Ceará,338209.0,DEZ,2011.0
Rio Grande do Norte,173709.0,DEZ,2011.0
Paraíba,147654.0,DEZ,2011.0
Pernambuco,433265.0,DEZ,2011.0
Alagoas,118884.0,DEZ,2011.0
Sergipe,89083.0,DEZ,2011.0
Bahia,607354.0,DEZ,2011.0
Minas Gerais,859402.0,DEZ,2011.0
Espírito Santo,214613.0,DEZ,2011.0
Rio de Janeiro,1126820.0,DEZ,2011.0
São Paulo,3182336.0,DEZ,2011.0
Paraná,573158.0,DEZ,2011.0
Santa Catarina,412527.0,DEZ,2011.0
Rio Grande do Sul,617656.0,DEZ,2011.0
Mato Grosso do Sul,150707.0,DEZ,2011.0
Mato Grosso,237762.0,DEZ,2011.0
Goiás,348685.0,DEZ,2011.0
Distrito Federal,191531.0,DEZ,2011.0
Rondônia,95136.0,JAN,2012.0
Acre,37476.0,JAN,2012.0
Amazonas,183270.0,JAN,2012.0
Roraima,37808.0,JAN,2012.0
Pará,291134.0,JAN,2012.0
Amapá,50209.0,JAN,2012.0
Tocantins,64810.0,JAN,2012.0
Maranhão,243069.0,JAN,2012.0
Piauí,129868.0,JAN,2012.0
Ceará,355974.0,JAN,2012.0
Rio Grande do Norte,175591.0,JAN,2012.0
Paraíba,156327.0,JAN,2012.0
Pernambuco,412486.0,JAN,2012.0
Alagoas,112745.0,JAN,2012.0
Sergipe,94972.0,JAN,2012.0
Bahia,614458.0,JAN,2012.0
Minas Gerais,927183.0,JAN,2012.0
Espírito Santo,228754.0,JAN,2012.0
Rio de Janeiro,1400959.0,JAN,2012.0
